"","quantity","location","lat","long","service_time","batch_index","driver_index","visit_seq","usage"
"320",2,90,1.39040159327144,-0.936679611900969,1.55,3,32,4,0
"321",1,164,1.32250753467419,-0.723474446125898,5.11666666666667,7,99,4,1
"322",1,39,1.62665223879618,-1.111080386371,0,4,58,4,1
"323",2,349,-1.61520289924909,-0.169526431184921,0,1,5,5,1
"324",1,106,0.88481487265138,-0.89533497827587,4.09166666666667,3,32,5,0
"325",1,94,1.18516853796884,-0.93203710007482,0,1,5,6,1
"326",1,506,-0.143590563156519,0.20275046057602,8.29583333333333,12,108,1,1
"327",2,598,-0.707421425416325,0.48340343968216,8.4625,4,41,7,1
"328",1,59,0.574811290375817,-1.03697538627024,0.516666666666667,4,45,4,1
"329",1,59,0.574811290375817,-1.03697538627024,0.567207595833333,7,68,7,1
"330",1,406,-0.367089532701429,-0.0471568269992459,9.35416666666667,7,59,1,1
"331",1,54,1.45898493165149,-1.05361835319634,2.90833333333333,1,5,7,1
"332",6,80,1.19309525546961,-0.97548400320725,3.05,1,8,7,1
"333",2,778,-0.754637090531735,1.16777975858297,0,2,26,7,1
"334",1,136,1.39746671104416,-0.81439760227784,0,4,58,10,1
"335",2,194,-1.41703496171922,-0.575176851360589,0,2,15,2,1
"336",1,587,1.32974497239277,0.432598593277181,3.08333333333333,7,115,3,1
"337",1,59,0.574811290375817,-1.03697538627024,2.06666666666667,4,45,7,1
"338",1,137,1.10952008181605,-0.813696845776226,2.63333333333333,4,57,5,1
"339",1,390,-0.107920334401179,-0.0793040315345932,3.1,12,82,2,1
"340",1,136,1.39746671104416,-0.81439760227784,0,1,5,3,1
"341",1,262,-0.175814392998425,-0.363986360529059,6.32916666666667,6,78,1,0
"342",2,61,1.57340537558195,-1.03093136143962,0,4,58,7,1
"343",1,185,-1.29606635985299,-0.605922542892709,6.84583333333333,1,6,1,1
"344",1,449,0.792451381767764,0.0263350111624451,2.275,1,5,2,1
"345",1,44,0.660281983432563,-1.08707947617236,1.01666666666667,4,54,4,1
"346",1,59,0.574811290375817,-1.03697538627024,3.1,4,45,8,1
"347",1,90,1.39022927332558,-0.936679611900969,0,4,58,11,1
"348",1,94,1.18516853796884,-0.93203710007482,1.1875,4,53,12,1
"349",1,730,-1.43771335520044,1.01808065081319,0,7,97,8,1
"350",1,194,-1.41703496171922,-0.575176851360589,0,2,15,3,1
"351",1,59,0.574811290375817,-1.03697538627024,3.15,4,45,6,1
"352",1,91,0.988896119840921,-0.936066449961901,0.508333333333333,4,60,3,1
"353",1,100,0.969940925816415,-0.909262513755561,9.40833333333333,4,60,2,1
"354",3,128,1.02404938875931,-0.837084594034552,0,4,57,3,1
"355",1,458,-0.0264130000954346,0.0490220029191574,2.05,15,120,4,0
"356",1,20,0.793657621387528,-1.2494797955437,0,4,54,12,1
"357",1,302,-0.125324648914823,-0.263077424220716,14.9333333333333,15,144,1,0
"358",1,291,0.556717696079976,-0.28979376586451,4.925,4,58,1,1
"359",1,194,-1.41703496171922,-0.575176851360589,0,2,15,4,1
"360",1,730,-1.43771335520044,1.01808065081319,0,12,133,8,1
"361",1,231,-0.287650037743501,-0.458238110066468,0.375,4,39,3,1
"362",1,54,1.45898493165149,-1.05361835319634,0,7,160,4,1
"363",1,772,-1.3605140195368,1.15017325146639,0,6,84,2,0
"364",1,831,-0.683985912803863,2.61422877355971,0,3,102,1,0
"365",2,236,-0.61367937496709,-0.444836141963298,0,29,142,5,0
"366",1,59,0.574811290375817,-1.03697538627024,18.0666666666667,4,45,1,1
"367",1,59,0.574811290375817,-1.03697538627024,0.516666666666667,2,18,5,1
